구 분,CCTV 총계,범죄예방 및 수사,방범,어린이보호구역,공원놀이터,쓰레기,시설안전,교통단속,교통정보,기타
종로구,2290,2154,1779,105,270,0,3,133,0,0
중구,3021,2460,2032,76,290,62,62,332,0,167
용산구,3300,2938,2484,233,221,0,5,357,0,0
성동구,4514,3971,2932,421,384,234,115,428,0,0
광진구,4156,3722,2568,554,535,65,159,275,0,0
동대문,3446,3210,2552,285,341,32,1,189,0,46
중랑구,4512,4163,3821,141,190,11,59,290,0,0
성북구,4543,4181,3457,451,273,0,87,257,18,0
강북구,3584,3430,2881,355,194,0,49,105,0,0
도봉구,2378,2196,1670,192,334,0,71,111,0,0
노원구,3111,2716,1625,302,683,106,237,158,0,0
은평구,5027,4369,3697,97,575,0,293,357,0,8
서대문,3799,3117,2348,132,637,0,279,403,0,0
마포구,3361,3217,2710,227,240,40,0,144,0,0
양천구,4447,4064,2698,829,537,0,0,193,0,190
강서구,3627,3471,2789,300,361,21,0,156,0,0
구로구,5449,4675,3365,580,689,41,310,464,0,0
금천구,3170,2979,2414,266,253,46,0,191,0,0
영등포,4697,4104,3622,283,199,0,5,588,0,0
동작구,3315,2927,2228,403,275,21,134,69,0,185
관악구,5842,4269,3563,253,306,147,860,713,0,0
서초구,5395,3343,2810,203,330,0,837,1215,0,0
강남구,7721,6829,5236,1117,476,0,152,708,0,32
송파구,4126,3519,2295,453,771,0,203,404,0,0
강동구,3549,3435,2963,254,218,0,0,114,0,0
